id,number,session,prolific,charity_name,charity_calibration,buffer_X,calibration_choices,switchpoint_calib,censored_calibration,buffer_choices,switchpoint_buffer,censored_buffer,exclusion_B_to_A,buffer>calib,nb_MSP_valuation,order of cases
ahmvkeos,68,ejnanr0h,5f1c62b6554a0f4f129c75fd,Sea Shepherd (SS),30.0,30.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",[],1.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",[],1.0,0.0,0,,"['ASPS', 'ASPC', 'ACPS', 'ACPC']"
63nz1n4p,39,ejnanr0h,5a940f1f4eecca0001dd3181,World Wide Fund for Nature - UK (WWF),16.0,10.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[9],0.0,"['A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[6],0.0,0.0,0,,"['ASPC', 'ACPC', 'ASPS', 'ACPS']"
ae538dja,67,ejnanr0h,608195d5c0200b6b1dd9c497,World Wide Fund for Nature - UK (WWF),14.0,10.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[8],0.0,"['A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[6],0.0,0.0,0,,"['ACPC', 'ACPS', 'ASPC', 'ASPS']"
tpr3tcqc,243,ejnanr0h,5e201890d6b7e131dd2bb2dd,The Nature Conservancy (NC),16.0,14.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[9],0.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[8],0.0,0.0,0,,"['ASPS', 'ACPC', 'ASPC', 'ACPS']"
xaod88b1,275,ejnanr0h,5e9d85d30b8c7c057f5a88ff,World Wide Fund for Nature - UK (WWF),12.0,6.0,"['A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[7],0.0,"['A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[4],0.0,0.0,0,,"['ACPS', 'ACPC', 'ASPS', 'ASPC']"
4etuouyv,31,ejnanr0h,59fc4d227542890001aa5e98,World Wide Fund for Nature - UK (WWF),20.0,10.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B']",[11],0.0,"['A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[6],0.0,0.0,0,,"['ACPS', 'ASPC', 'ACPC', 'ASPS']"
r12z7h7m,206,ejnanr0h,6128a3db67305ef94021fcd7,World Wide Fund for Nature - UK (WWF),30.0,30.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",[],1.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",[],1.0,0.0,0,,"['ACPC', 'ASPS', 'ACPS', 'ASPC']"
e08spc7m,93,ejnanr0h,5ecdc457c4b241140ab35e2b,World Wide Fund for Nature - UK (WWF),20.0,14.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B']",[11],0.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",[8],0.0,0.0,0,,"['ACPS', 'ACPC', 'ASPC', 'ASPS']"
ecwn8nyz,98,ejnanr0h,56d1f7f67bbc32000589a588,World Wide Fund for Nature - UK (WWF),30.0,30.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",[],1.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",[],1.0,0.0,0,,"['ACPS', 'ASPC', 'ASPS', 'ACPC']"
d9gubaq5,89,ejnanr0h,6141f62294ff9bf9d89e8897,The Nature Conservancy (NC),28.0,26.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B']",[15],0.0,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B']",[14],0.0,0.0,0,,"['ASPS', 'ACPS', 'ACPC', 'ASPC']"
