id,number,session,prolific,Demog_AGE,Demog_Sex,Demog_Field,Demog_High_Ed_Lev,NEP_1,NEP_2,NEP_3,NEP_4,NEP_5,NEP_6,NEP_7,NEP_8,NEP_9,NEP_10,NEP_11,NEP_12,NEP_13,NEP_14,NEP_15,Charity_LIKE,Charity_TRUST,Charity_LIKELY,Charity_DONATION_DONE
ahmvkeos,68,ejnanr0h,5f1c62b6554a0f4f129c75fd,21.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0
63nz1n4p,39,ejnanr0h,5a940f1f4eecca0001dd3181,28.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0
ae538dja,67,ejnanr0h,608195d5c0200b6b1dd9c497,24.0,1.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,2.0
tpr3tcqc,243,ejnanr0h,5e201890d6b7e131dd2bb2dd,22.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0
xaod88b1,275,ejnanr0h,5e9d85d30b8c7c057f5a88ff,26.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0
4etuouyv,31,ejnanr0h,59fc4d227542890001aa5e98,28.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,2.0
r12z7h7m,206,ejnanr0h,6128a3db67305ef94021fcd7,30.0,2.0,1.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,1.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0
e08spc7m,93,ejnanr0h,5ecdc457c4b241140ab35e2b,22.0,1.0,5.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0
ecwn8nyz,98,ejnanr0h,56d1f7f67bbc32000589a588,20.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,4.0,1.0,5.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0
d9gubaq5,89,ejnanr0h,6141f62294ff9bf9d89e8897,29.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0
